FID,PlanningRegion,ARCModelingArea,GEOID,LogRecNo,SumLevel,NAME,Pop25P_e18,Pop25P_m18,NoHS_e18,NoHS_m18,pNoHS_e18,pNoHS_m18,SomeHS_e18,SomeHS_m18,pSomeHS_e18,pSomeHS_m18,HSGrad_e18,HSGrad_m18,pHSGrad_e18,pHSGrad_m18,SomeColl_e18,SomeColl_m18,pSomeColl_e18,pSomeColl_m18,Associates_e18,Associates_m18,pAssociates_e18,pAssociates_m18,BA_e18,BA_m18,pBA_e18,pBA_m18,GradProf_e18,GradProf_m18,pGradProf_e18,pGradProf_m18,LtHS_e18,LtHS_m18,pLtHS_e18,pLtHS_m18,HSPlus_e18,HSPlus_m18,pHSPlus_e18,pHSPlus_m18,BAPlus_e18,BAPlus_m18,pBAPlus_e18,pBAPlus_m18,SHAPE_Length,SHAPE_Area
165,Southwest Georgia,No,31773,3800,ZCTA,ZCTA5 31773,2552,263,250,83,9.8,3.1,320,116,12.5,4.3,775,148,30.4,4.9,709,152,27.8,5.2,225,89,8.8,3.4,114,59,4.5,2.3,159,68,6.2,2.6,570,143,22.3,5.1,1982,247,77.7,5.4,273,90,10.7,3.3,1.10002473608845,0.021011450235128
166,Southern Georgia,No,31774,3801,ZCTA,ZCTA5 31774,4464,340,167,84,3.7,1.9,739,200,16.6,4.3,1894,259,42.4,4.8,735,196,16.5,4.2,395,141,8.8,3.1,337,174,7.5,3.8,197,95,4.4,2.1,906,217,20.3,4.6,3558,406,79.7,6.8,534,198,12,4.3,1.17054797295224,0.0421980655290953
167,SG / SW,No,31775,3802,ZCTA,ZCTA5 31775,2132,332,282,109,13.2,4.7,382,123,17.9,5,770,189,36.1,6.9,382,145,17.9,6.2,232,84,10.9,3.6,46,33,2.2,1.5,38,40,1.8,1.8,664,164,31.1,6,1468,258,68.9,5.6,84,52,3.9,2.3,0.835025997692548,0.0114874129496407
168,SG / SW,No,31778,3803,ZCTA,ZCTA5 31778,1711,173,51,27,3,1.5,263,98,15.4,5.5,729,106,42.6,4.5,308,67,18,3.5,150,44,8.8,2.4,142,46,8.3,2.6,68,49,4,2.8,314,101,18.4,5.6,1397,149,81.6,2.9,210,67,12.3,3.7,0.828390047012886,0.026174785956853
169,Southwest Georgia,No,31779,3804,ZCTA,ZCTA5 31779,6970,423,356,116,5.1,1.6,1521,258,21.8,3.5,2932,336,42.1,4.1,1111,257,15.9,3.6,410,103,5.9,1.4,445,142,6.4,2,195,105,2.8,1.5,1877,282,26.9,3.7,5093,470,73.1,5.1,640,177,9.2,2.5,1.41728791879028,0.0348438726723232
170,River Valley,No,31780,3805,ZCTA,ZCTA5 31780,1587,227,135,63,8.5,3.8,214,92,13.5,5.5,583,157,36.7,8.4,285,104,18,6,97,60,6.1,3.7,209,90,13.2,5.4,64,41,4,2.5,349,112,22,6.3,1238,221,78,8.4,273,99,17.2,5.7,1.15352670446298,0.0248585245482669
171,Southwest Georgia,No,31781,3806,ZCTA,ZCTA5 31781,1384,294,117,83,8.5,5.7,223,99,16.1,6.3,520,148,37.6,7.2,288,117,20.8,7.2,58,37,4.2,2.5,131,72,9.5,4.8,47,39,3.4,2.7,340,129,24.6,7.7,1044,209,75.4,22,178,82,12.9,5.2,0.692787456391098,0.00674792275003808
172,Southern Georgia,No,31783,3807,ZCTA,ZCTA5 31783,650,159,61,43,9.4,6.2,57,55,8.8,8.2,260,99,40,11.7,95,42,14.6,5.5,66,43,10.2,6.1,77,42,11.8,5.7,34,33,5.2,4.9,118,70,18.2,9.8,532,128,81.8,28,111,53,17.1,7,1.1480375498567,0.0248624311844621
173,Middle Georgia,No,31207,3653,ZCTA,ZCTA5 31207,17,20,0,37,0,216.3,0,37,0,216.3,0,18,0,108.1,0,26,0,152.9,0,18,0,108.1,9,19,52.9,93.5,8,28,47.1,154.2,0,52,0,305.9,17,50,100,269.1,17,34,100,160.1,0.0332995977463174,4.31246853201144e-05
174,Middle Georgia,No,31210,3654,ZCTA,ZCTA5 31210,23178,872,406,204,1.8,0.9,794,230,3.4,1,4613,535,19.9,2.2,4790,559,20.7,2.3,1422,269,6.1,1.1,5841,474,25.2,1.8,5312,475,22.9,1.9,1200,307,5.2,1.3,21978,1059,94.8,2.9,11153,672,48.1,2.3,0.583062579367639,0.0104123266318693
