FID,PlanningRegion,ARCModelingArea,GEOID,LogRecNo,SumLevel,NAME,Pop25P_e18,Pop25P_m18,NoHS_e18,NoHS_m18,pNoHS_e18,pNoHS_m18,SomeHS_e18,SomeHS_m18,pSomeHS_e18,pSomeHS_m18,HSGrad_e18,HSGrad_m18,pHSGrad_e18,pHSGrad_m18,SomeColl_e18,SomeColl_m18,pSomeColl_e18,pSomeColl_m18,Associates_e18,Associates_m18,pAssociates_e18,pAssociates_m18,BA_e18,BA_m18,pBA_e18,pBA_m18,GradProf_e18,GradProf_m18,pGradProf_e18,pGradProf_m18,LtHS_e18,LtHS_m18,pLtHS_e18,pLtHS_m18,HSPlus_e18,HSPlus_m18,pHSPlus_e18,pHSPlus_m18,BAPlus_e18,BAPlus_m18,pBAPlus_e18,pBAPlus_m18,SHAPE_Length,SHAPE_Area
366,River Valley,No,31070,3626,ZCTA,ZCTA5 31070,734,191,29,44,4,6,74,44,10.1,5.4,285,105,38.8,10.1,145,60,19.8,6.3,63,62,8.6,8.1,87,79,11.9,10.3,51,39,6.9,5,103,63,14,7.7,631,162,86,31.4,138,88,18.8,11,0.823716950472889,0.0127871393154788
367,HOGA / MG,No,31071,3627,ZCTA,ZCTA5 31071,838,142,97,53,11.6,6.1,113,62,13.5,7.1,359,102,42.8,9.8,174,63,20.8,6.7,34,19,4.1,2.1,37,24,4.4,2.8,24,25,2.9,3,210,82,25.1,8.8,628,126,74.9,8.1,61,35,7.3,4,1.06361398870695,0.0137269414582204
368,HOGA / RV,No,31072,3628,ZCTA,ZCTA5 31072,930,164,49,37,5.3,3.9,155,66,16.7,6.5,432,88,46.5,4.8,141,58,15.2,5.6,44,32,4.7,3.4,56,41,6,4.2,53,39,5.7,4,204,76,21.9,7.2,726,124,78.1,19.2,109,56,11.7,5.7,0.906326319981006,0.018802830603541
369,Heart of Georgia Altamaha,No,31075,3629,ZCTA,ZCTA5 31075,1744,270,42,45,2.4,2.5,237,126,13.6,6.9,859,175,49.3,6.5,290,86,16.6,4.2,145,69,8.3,3.8,104,64,6,3.6,67,47,3.8,2.6,279,134,16,7.3,1465,222,84,18.2,171,80,9.8,4.3,0.93524587964036,0.013663424854564
370,River Valley,No,31076,3630,ZCTA,ZCTA5 31076,2270,248,230,77,10.1,3.2,308,85,13.6,3.4,766,154,33.7,5.7,521,142,23,5.7,132,63,5.8,2.7,228,91,10,3.8,85,47,3.7,2,538,114,23.7,4.3,1732,241,76.3,6.6,313,102,13.8,4.2,1.4467431752929,0.0302901138165184
371,ARC / TR,Yes,30228,3279,ZCTA,ZCTA5 30228,26639,1298,638,203,2.4,0.8,1537,331,5.8,1.2,8540,832,32.1,2.7,6445,655,24.2,2.2,2668,422,10,1.5,4193,685,15.7,2.5,2618,399,9.8,1.4,2175,388,8.2,1.4,24464,1388,91.8,2.7,6811,793,25.6,2.7,1.03619001684096,0.0192164659532758
372,Heart of Georgia Altamaha,No,31077,3631,ZCTA,ZCTA5 31077,1046,209,59,36,5.6,3.3,71,37,6.8,3.3,545,148,52.1,9.5,144,48,13.8,3.7,95,48,9.1,4.2,45,43,4.3,4,87,39,8.3,3.3,130,52,12.4,4.3,916,172,87.6,24,132,58,12.6,4.9,1.41052058148297,0.0239689964962814
373,Three Rivers,Partial,30230,3280,ZCTA,ZCTA5 30230,6495,510,580,174,8.9,2.6,821,194,12.6,2.8,2637,295,40.6,3.2,1408,229,21.7,3.1,337,127,5.2,1.9,494,156,7.6,2.3,218,80,3.4,1.2,1401,260,21.6,3.6,5094,431,78.4,2.5,712,175,11,2.6,1.62648511655918,0.0332969634058825
374,Middle Georgia,No,31078,3632,ZCTA,ZCTA5 31078,2061,277,128,61,6.2,2.8,288,87,14,3.8,696,141,33.8,5.1,524,157,25.4,6.8,154,65,7.5,3,102,45,4.9,2.1,169,92,8.2,4.3,416,107,20.2,4.4,1645,243,79.8,4.9,271,103,13.1,4.7,0.938082701989628,0.0264447761895049
375,ARC / MG / TR,Partial,30233,3281,ZCTA,ZCTA5 30233,16688,637,758,185,4.5,1.1,2643,387,15.8,2.2,6961,563,41.7,3,2993,397,17.9,2.3,1135,237,6.8,1.4,1497,276,9,1.6,701,202,4.2,1.2,3401,429,20.4,2.4,13287,805,79.6,3.7,2198,342,13.2,2,1.65913119153455,0.0401094920277535
376,HOGA / SG,No,31079,3633,ZCTA,ZCTA5 31079,1487,217,36,30,2.4,2,91,42,6.1,2.7,732,129,49.2,4.9,257,72,17.3,4.1,122,59,8.2,3.8,125,60,8.4,3.8,124,53,8.3,3.4,127,52,8.5,3.2,1360,178,91.5,17.9,249,80,16.7,4.8,1.66275151332237,0.0278811826994966
377,Heart of Georgia Altamaha,No,30448,3383,ZCTA,ZCTA5 30448,47,28,9,34,19.1,71.5,2,35,4.3,73.4,12,12,25.5,19.6,8,21,17,43.8,3,14,6.4,29.4,0,18,0,39.1,13,28,27.7,57.9,11,48,23.4,102.2,36,44,76.6,81.2,13,34,27.7,69.9,0.159049281443651,0.000723346863268201
378,ARC / TR,Partial,30234,3282,ZCTA,ZCTA5 30234,1284,262,44,45,3.4,3.4,156,73,12.1,5.1,630,191,49.1,11.1,235,112,18.3,7.9,93,62,7.2,4.6,90,54,7,3.9,36,36,2.8,2.8,200,86,15.6,5.9,1084,239,84.4,7.1,126,65,9.8,4.6,0.419242089895207,0.00296491692848052
379,River Valley,No,31081,3634,ZCTA,ZCTA5 31081,39,47,0,37,0,94.3,0,37,0,94.3,13,25,33.3,49,0,26,0,66.7,26,45,66.7,82.5,0,18,0,47.1,0,32,0,81.6,0,52,0,133.3,39,68,100,126.8,0,37,0,94.3,0.743824177309439,0.00880815289953733
380,Coastal Regional Commission,No,30449,3384,ZCTA,ZCTA5 30449,96,43,4,35,4.2,36.3,13,28,13.5,28.7,48,25,50,13,16,23,16.7,23.3,10,13,10.4,13.1,5,15,5.2,15.7,0,32,0,33.2,17,45,17.7,46.1,79,51,82.3,38.1,5,35,5.2,36.7,0.356378498285274,0.00191998301645056
381,Atlanta Regional Commission,Yes,30236,3283,ZCTA,ZCTA5 30236,30909,1349,2114,385,6.8,1.2,2436,394,7.9,1.2,10199,822,33,2.2,6926,676,22.4,2,2387,355,7.7,1.1,4319,575,14,1.8,2528,409,8.2,1.3,4550,551,14.7,1.7,26359,1325,85.3,2.1,6847,706,22.2,2.1,0.840798392309842,0.0085035269905351
382,CSRA / MG,No,31082,3635,ZCTA,ZCTA5 31082,6608,398,293,108,4.4,1.6,698,197,10.6,2.9,2836,306,42.9,3.8,1234,232,18.7,3.3,332,104,5,1.5,819,170,12.4,2.5,396,123,6,1.8,991,225,15,3.3,5617,449,85,4.5,1215,210,18.4,3,1.97918698541726,0.0567717017687095
383,Coastal Regional Commission,No,30450,3385,ZCTA,ZCTA5 30450,1636,260,129,72,7.9,4.2,289,103,17.7,5.7,655,161,40,7.5,284,94,17.4,5,105,56,6.4,3.3,101,48,6.2,2.8,73,57,4.5,3.4,418,126,25.6,6.5,1218,209,74.4,4.8,174,75,10.6,4.2,0.875093398028347,0.0126266955955769
384,Heart of Georgia Altamaha,No,31083,3636,ZCTA,ZCTA5 31083,289,105,4,32,1.4,11.2,42,41,14.5,13.2,191,72,66.1,6,43,33,14.9,10.2,6,16,2.1,5.4,1,13,0.3,4.6,2,29,0.7,10.2,46,52,15.9,17.1,243,87,84.1,42.8,3,32,1,11.1,0.155783552243509,0.000513027993849864
385,Heart of Georgia Altamaha,No,30451,3386,ZCTA,ZCTA5 30451,33,23,0,37,0,111.4,0,37,0,111.4,16,15,48.5,30.4,6,19,18.2,57.1,0,18,0,55.7,3,14,9.1,41.7,8,32,24.2,95,0,52,0,157.6,33,46,100,121.7,11,35,33.3,102.7,0.0311020861276912,1.88353902020022e-05
386,Coastal Regional Commission,No,30452,3387,ZCTA,ZCTA5 30452,1001,191,39,39,3.9,3.8,85,47,8.5,4.4,307,97,30.7,7.7,220,83,22,7.1,82,42,8.2,3.8,124,42,12.4,3.5,144,76,14.4,7.1,124,61,12.4,5.6,877,160,87.6,23.1,268,87,26.8,7,0.680157155352729,0.0139141294267324
387,Heart of Georgia Altamaha,No,30453,3388,ZCTA,ZCTA5 30453,7781,419,728,166,9.4,2.1,1600,213,20.6,2.5,3433,312,44.1,3.2,1133,218,14.6,2.7,355,122,4.6,1.6,242,87,3.1,1.1,290,121,3.7,1.5,2328,270,29.9,3.1,5453,426,70.1,4,532,149,6.8,1.9,1.41918561907528,0.031128431935075
388,Heart of Georgia Altamaha,No,30454,3389,ZCTA,ZCTA5 30454,529,257,24,41,4.5,7.5,75,87,14.2,14.8,273,158,51.6,16.2,82,79,15.5,12.8,75,76,14.2,12.7,0,18,0,3.5,0,32,0,6,99,96,18.7,15.7,430,196,81.3,54.1,0,37,0,7,0.69097002030792,0.00904601971135127
389,Coastal Regional Commission,No,30455,3390,ZCTA,ZCTA5 30455,378,78,17,33,4.5,8.6,42,31,11.1,7.8,165,50,43.7,9.8,67,31,17.7,7.3,40,30,10.6,7.6,21,14,5.6,3.6,26,33,6.9,8.6,59,45,15.6,11.5,319,75,84.4,9.7,47,36,12.4,9.1,0.734369160156214,0.0110777406620678
390,Central Savannah River Area,No,30456,3391,ZCTA,ZCTA5 30456,1338,223,113,79,8.4,5.7,249,93,18.6,6.2,436,112,32.6,6.4,293,123,21.9,8.4,111,62,8.3,4.4,71,43,5.3,3.1,65,48,4.9,3.5,362,122,27.1,7.9,976,189,72.9,7.1,136,64,10.2,4.5,1.18030121470093,0.0202933259671785
391,Heart of Georgia Altamaha,No,30457,3392,ZCTA,ZCTA5 30457,4186,307,380,114,9.1,2.6,669,172,16,3.9,1635,221,39.1,4.4,686,165,16.4,3.8,229,93,5.5,2.2,337,95,8.1,2.2,250,96,6,2.2,1049,206,25.1,4.6,3137,321,74.9,5.3,587,135,14,3.1,2.00624180004124,0.0445701239665904
392,Coastal Regional Commission,No,30458,3393,ZCTA,ZCTA5 30458,21365,724,885,230,4.1,1.1,2015,398,9.4,1.8,4747,449,22.2,2,5005,572,23.4,2.6,1926,356,9,1.6,3805,437,17.8,2,2982,401,14,1.8,2900,460,13.6,2.1,18465,1003,86.4,3.7,6787,593,31.8,2.6,1.41488266478657,0.0374552157025532
393,Coastal Regional Commission,No,30460,3394,ZCTA,ZCTA5 30460,57,70,0,37,0,64.5,0,37,0,64.5,32,65,56.1,91.5,17,33,29.8,44.6,0,18,0,32.3,8,21,14,33.4,0,32,0,55.9,0,52,0,91.2,57,85,100,83.4,8,38,14,65.1,0.00856935411412912,4.57525615090829e-06
394,Coastal Regional Commission,No,30461,3395,ZCTA,ZCTA5 30461,9599,651,168,87,1.8,0.9,648,179,6.8,1.8,2615,388,27.2,3.6,2302,383,24,3.6,803,221,8.4,2.2,1456,238,15.2,2.3,1607,282,16.7,2.7,816,199,8.5,2,8783,695,91.5,3.7,3063,369,31.9,3.2,1.53436323629489,0.041132195328166
395,Heart of Georgia Altamaha,No,30464,3396,ZCTA,ZCTA5 30464,47,31,2,35,4.3,73.6,11,31,23.4,63.8,15,15,31.9,24,15,19,31.9,34.9,0,18,0,39.1,4,14,8.5,29.9,0,32,0,67.8,13,46,27.7,97,34,46,72.3,86.3,4,35,8.5,74.1,0.0605801238027807,0.000208302109111506
396,Coastal Regional Commission,No,30467,3397,ZCTA,ZCTA5 30467,8398,223,472,127,5.6,1.5,918,174,10.9,2,3485,285,41.5,3.2,1710,230,20.4,2.7,547,133,6.5,1.6,879,160,10.5,1.9,387,104,4.6,1.2,1390,215,16.6,2.5,7008,434,83.4,4.7,1266,191,15.1,2.2,2.53665524609563,0.130805206860485
397,Heart of Georgia Altamaha,No,30470,3398,ZCTA,ZCTA5 30470,247,97,0,37,0,14.9,42,44,17,16.7,82,40,33.2,9.5,64,41,25.9,13.2,25,34,10.1,13,11,11,4.5,4.2,23,35,9.3,13.5,42,58,17,22.4,205,76,83,44.7,34,36,13.8,13.7,0.918412692681575,0.00729044235354703
398,CRC / HOGA,No,30471,3399,ZCTA,ZCTA5 30471,3550,324,302,92,8.5,2.5,457,122,12.9,3.2,1448,180,40.8,3.5,676,155,19,4,236,85,6.6,2.3,280,107,7.9,2.9,151,89,4.3,2.5,759,152,21.4,3.8,2791,289,78.6,3.8,431,139,12.1,3.8,2.003942645072,0.0368515536344093
399,Heart of Georgia Altamaha,No,30473,3400,ZCTA,ZCTA5 30473,1775,239,179,101,10.1,5.5,285,90,16.1,4.6,729,134,41.1,5.2,295,79,16.6,3.8,132,75,7.4,4.1,118,43,6.6,2.3,37,25,2.1,1.4,464,135,26.1,6.8,1311,180,73.9,2,155,50,8.7,2.5,1.08222554445379,0.0212879339586145
400,Heart of Georgia Altamaha,No,30474,3401,ZCTA,ZCTA5 30474,11091,625,853,289,7.7,2.6,1050,279,9.5,2.5,4333,457,39.1,3.5,2015,329,18.2,2.8,800,161,7.2,1.4,1101,224,9.9,1.9,939,230,8.5,2,1903,402,17.2,3.5,9188,668,82.8,3.8,2040,321,18.4,2.7,1.74268311546653,0.0349863790254117
401,Heart of Georgia Altamaha,No,30475,3402,ZCTA,ZCTA5 30475,0,13,0,37,,,0,37,,,0,18,,,0,26,,,0,18,,,0,18,,,0,32,,,0,52,,,0,52,,,0,37,,,0.0319463698927819,2.30617395685921e-05
402,Georgia Mountains,No,30573,3458,ZCTA,ZCTA5 30573,116,134,1,34,0.9,29.7,6,36,5.2,30.3,1,13,0.9,11.3,6,20,5.2,16.4,10,14,8.6,7.3,56,80,48.3,40.7,36,60,31,37.3,7,50,6,42.3,109,104,94,140.7,92,100,79.3,125.8,0.343159307830116,0.00124482813815555
403,Central Savannah River Area,No,30477,3403,ZCTA,ZCTA5 30477,1964,240,287,105,14.6,5,272,78,13.8,3.6,860,156,43.8,5.9,278,83,14.2,3.8,117,55,6,2.7,109,56,5.5,2.7,41,32,2.1,1.6,559,131,28.5,5.7,1405,196,71.5,4.8,150,64,7.6,3.1,0.922234076674481,0.0178003539411064
404,GM / NE,Partial,30575,3459,ZCTA,ZCTA5 30575,1082,252,227,134,21,11.4,249,143,23,12.1,266,114,24.6,8.8,186,84,17.2,6.6,2,13,0.2,1.2,137,85,12.7,7.3,15,25,1.4,2.3,476,196,44,14.9,606,167,56,8.3,152,89,14,7.6,0.398441191246173,0.00293194584175917
405,Georgia Mountains,Yes,30501,3404,ZCTA,ZCTA5 30501,18118,868,3614,473,19.9,2.4,1977,360,10.9,1.9,5205,583,28.7,2.9,2922,439,16.1,2.3,787,233,4.3,1.3,2231,364,12.3,1.9,1382,289,7.6,1.6,5591,595,30.9,2.9,12527,896,69.1,3.7,3613,465,19.9,2.4,0.548598398184354,0.00621942226509609
406,Georgia Mountains,No,30576,3460,ZCTA,ZCTA5 30576,1810,245,54,47,3,2.6,291,105,16.1,5.4,525,110,29,4.7,378,93,20.9,4.3,120,54,6.6,2.8,251,87,13.9,4.4,191,69,10.6,3.5,345,115,19.1,5.8,1465,190,80.9,15.2,442,111,24.4,5.2,0.835114707147529,0.00989826579501458
407,Georgia Mountains,Yes,30504,3405,ZCTA,ZCTA5 30504,16270,847,3221,460,19.8,2.6,1958,365,12,2.2,4743,587,29.2,3.3,2626,343,16.1,1.9,942,218,5.8,1.3,1670,237,10.3,1.4,1110,223,6.8,1.3,5179,587,31.8,3.2,11091,785,68.2,3.3,2780,325,17.1,1.8,0.666100072441853,0.00547101614868039
408,Georgia Mountains,No,30577,3461,ZCTA,ZCTA5 30577,13912,648,789,280,5.7,2,1672,340,12,2.4,4941,509,35.5,3.3,2729,439,19.6,3,608,208,4.4,1.5,1776,348,12.8,2.4,1397,336,10,2.4,2461,441,17.7,3.1,11451,854,82.3,4.8,3173,484,22.8,3.3,1.90782177100194,0.042110589937309
409,Georgia Mountains,Yes,30506,3406,ZCTA,ZCTA5 30506,30555,1063,1456,383,4.8,1.2,2354,379,7.7,1.2,7657,621,25.1,1.8,6926,635,22.7,1.9,2260,278,7.4,0.9,6236,520,20.4,1.5,3666,347,12,1.1,3810,539,12.5,1.7,26745,1121,87.5,2,9902,626,32.4,1.7,1.50622124438371,0.0315410890641675
410,Georgia Mountains,No,30581,3462,ZCTA,ZCTA5 30581,17,28,0,37,0,216.3,0,37,0,216.3,17,21,100,204.2,0,26,0,152.9,0,18,0,108.1,0,18,0,108.1,0,32,0,187.3,0,52,0,305.9,17,53,100,263.3,0,37,0,216.3,0.0446202149990353,5.11786337644783e-05
411,Georgia Mountains,Yes,30507,3407,ZCTA,ZCTA5 30507,18325,758,3526,498,19.2,2.6,3160,415,17.2,2.1,5469,489,29.8,2.4,2812,328,15.3,1.7,946,227,5.2,1.2,1462,218,8,1.1,950,190,5.2,1,6686,648,36.5,3.2,11639,694,63.5,2.7,2412,290,13.2,1.5,0.851212306252727,0.0180860970288016
412,Georgia Mountains,No,30582,3463,ZCTA,ZCTA5 30582,3208,376,143,70,4.5,2.1,226,92,7,2.7,978,234,30.5,6.4,685,147,21.4,3.9,328,109,10.2,3.2,507,149,15.8,4.2,341,102,10.6,2.9,369,115,11.5,3.3,2839,348,88.5,3.2,848,180,26.4,4.7,0.642482297912938,0.0127956318120954
413,Georgia Mountains,Partial,30510,3408,ZCTA,ZCTA5 30510,6155,580,888,213,14.4,3.2,816,166,13.3,2.4,2201,308,35.8,3.7,1224,199,19.9,2.6,353,122,5.7,1.9,365,110,5.9,1.7,308,99,5,1.5,1704,270,27.7,3.5,4451,414,72.3,9.6,673,148,10.9,2.2,0.805783812014184,0.011426959761255
414,Northeast Georgia,No,30601,3464,ZCTA,ZCTA5 30601,12761,736,923,251,7.2,1.9,1545,277,12.1,2.1,4033,479,31.6,3.3,2194,379,17.2,2.8,703,235,5.5,1.8,2129,345,16.7,2.5,1234,184,9.7,1.3,2468,374,19.3,2.7,10293,762,80.7,3.7,3363,391,26.4,2.7,0.59356357230329,0.00604376199345342
415,Georgia Mountains,No,30511,3409,ZCTA,ZCTA5 30511,2427,326,329,126,13.6,4.9,275,113,11.3,4.4,1021,202,42.1,6.1,371,100,15.3,3.5,200,107,8.2,4.3,125,50,5.2,1.9,106,57,4.4,2.3,604,170,24.9,6.1,1823,260,75.1,3.6,231,76,9.5,2.9,0.601527280127608,0.00762949632322733
416,Northeast Georgia,No,30602,3465,ZCTA,ZCTA5 30602,35,31,0,37,0,105.1,0,37,0,105.1,13,29,37.1,76.3,12,33,34.3,89,0,18,0,52.5,10,22,28.6,58.2,0,32,0,91,0,52,0,148.6,35,61,100,151.5,10,39,28.6,108,0.138393005735584,0.000183306650715988
417,GM / NW,No,30512,3410,ZCTA,ZCTA5 30512,16458,413,487,147,3,0.9,1348,287,8.2,1.7,5621,549,34.2,3.2,3940,477,23.9,2.8,1440,328,8.7,2,1932,292,11.7,1.7,1690,307,10.3,1.8,1835,323,11.1,1.9,14623,904,88.9,5,3622,424,22,2.5,1.46677314343701,0.0584568573271713
418,Northeast Georgia,No,30605,3466,ZCTA,ZCTA5 30605,21489,719,557,189,2.6,0.9,1181,250,5.5,1.2,3559,494,16.6,2.2,3562,418,16.6,1.9,1524,316,7.1,1.5,4975,433,23.2,1.9,6131,494,28.5,2.1,1738,313,8.1,1.4,19751,975,91.9,3.3,11106,657,51.7,2.5,0.711271992555673,0.00942038039697669
419,Northwest Georgia,No,30513,3411,ZCTA,ZCTA5 30513,8865,651,390,127,4.4,1.4,602,175,6.8,1.9,3039,431,34.3,4.2,2243,348,25.3,3.5,673,188,7.6,2,1173,202,13.2,2.1,745,186,8.4,2,992,216,11.2,2.3,7873,646,88.8,3.3,1918,274,21.6,2.7,2.67016635482845,0.0385304943665539
420,Northeast Georgia,No,30606,3467,ZCTA,ZCTA5 30606,27513,827,951,291,3.5,1.1,1805,349,6.6,1.3,4873,519,17.7,1.8,4483,468,16.3,1.6,1785,323,6.5,1.2,6327,513,23,1.7,7289,557,26.5,1.9,2756,454,10,1.6,24757,1079,90,2.8,13616,757,49.5,2.3,0.725485985577773,0.00780114335033466
421,Georgia Mountains,No,30516,3412,ZCTA,ZCTA5 30516,1406,313,87,46,6.2,3,320,167,22.8,10.8,525,126,37.3,3.4,177,72,12.6,4.3,88,51,6.3,3.3,96,57,6.8,3.7,113,88,8,6,407,173,28.9,10.5,999,186,71.1,20.6,209,104,14.9,6.6,0.428596989432394,0.00535053072809706
422,Northeast Georgia,No,30607,3468,ZCTA,ZCTA5 30607,6586,671,851,266,12.9,3.8,509,170,7.7,2.5,1961,371,29.8,4.8,1146,255,17.4,3.4,504,150,7.7,2.1,1022,207,15.5,2.7,593,154,9,2.1,1360,316,20.6,4.3,5226,540,79.4,1.4,1615,258,24.5,3,0.730138053807939,0.00910389603832897
423,ARC / GM / NE,Partial,30517,3413,ZCTA,ZCTA5 30517,9647,563,288,126,3,1.3,887,246,9.2,2.5,2394,330,24.8,3.1,1973,302,20.5,2.9,712,169,7.4,1.7,2068,297,21.4,2.8,1325,252,13.7,2.5,1175,276,12.2,2.8,8472,616,87.8,3.8,3393,389,35.2,3.5,0.577352982364192,0.00714346070038243
424,Northeast Georgia,No,30609,3469,ZCTA,ZCTA5 30609,0,13,0,37,,,0,37,,,0,18,,,0,26,,,0,18,,,0,18,,,0,32,,,0,52,,,0,52,,,0,37,,,0.00999521167641778,5.90347667244378e-06
425,Northeast Georgia,No,30619,3470,ZCTA,ZCTA5 30619,946,233,125,150,13.2,15.6,88,56,9.3,5.5,188,65,19.9,4.8,242,92,25.6,7.3,89,68,9.4,6.8,95,40,10,3.5,119,61,12.6,5.7,213,160,22.5,16,733,150,77.5,24.8,214,73,22.6,5.4,0.674493636927929,0.00681144495385142
426,ARC / NE,Yes,30620,3471,ZCTA,ZCTA5 30620,8631,670,469,131,5.4,1.5,818,223,9.5,2.5,2812,354,32.6,3.2,2240,314,26,3,753,183,8.7,2,944,194,10.9,2.1,595,173,6.9,1.9,1287,258,14.9,2.8,7344,570,85.1,9.3,1539,260,17.8,2.7,0.668521734719414,0.00622942214947641
427,Northeast Georgia,No,30621,3472,ZCTA,ZCTA5 30621,3865,259,64,41,1.7,1.1,181,70,4.7,1.8,802,153,20.8,3.7,646,145,16.7,3.6,337,77,8.7,1.9,886,151,22.9,3.6,949,169,24.6,4,245,82,6.3,2.1,3620,319,93.7,5.3,1835,226,47.5,4.9,0.928617523791151,0.0124696399412837
428,Northeast Georgia,Partial,30622,3473,ZCTA,ZCTA5 30622,8326,766,235,133,2.8,1.6,691,262,8.3,3,1621,252,19.5,2.4,1665,299,20,3.1,564,158,6.8,1.8,1983,325,23.8,3.2,1567,265,18.8,2.7,926,293,11.1,3.4,7400,595,88.9,10.9,3550,420,42.6,3.2,1.10020146704536,0.0105317841806933
429,Northeast Georgia,No,30623,3474,ZCTA,ZCTA5 30623,70,59,5,36,7.1,50.8,42,40,60,26.8,9,16,12.9,19.8,7,19,10,26.5,1,13,1.4,19,2,14,2.9,19.3,4,30,5.7,42.1,47,54,67.1,51.9,23,43,32.9,55.3,6,33,8.6,46.1,0.134180351110027,0.000545674775116151
430,GM / NE,No,30624,3475,ZCTA,ZCTA5 30624,2191,342,166,97,7.6,4.3,483,120,22,4.3,1057,215,48.2,6.3,241,83,11,3.4,60,30,2.7,1.3,133,60,6.1,2.6,51,49,2.3,2.2,649,154,29.6,5.3,1542,245,70.4,2.1,184,77,8.4,3.3,0.819495416371357,0.0110114367424452
431,Coastal Regional Commission,No,31312,3668,ZCTA,ZCTA5 31312,13098,673,489,234,3.7,1.8,863,180,6.6,1.3,4886,466,37.3,3,3487,432,26.6,3,972,210,7.4,1.6,1617,281,12.3,2,784,169,6,1.3,1352,295,10.3,2.2,11746,745,89.7,3.3,2401,328,18.3,2.3,1.60846024080913,0.0397893916312222
432,MG / NE,No,30625,3476,ZCTA,ZCTA5 30625,1607,225,61,54,3.8,3.3,161,89,10,5.4,552,134,34.3,6.8,302,98,18.8,5.5,165,77,10.3,4.5,238,99,14.8,5.8,128,52,8,3,222,104,13.8,6.2,1385,215,86.2,5.7,366,112,22.8,6.2,0.679886076382072,0.0122397031961416
433,Northeast Georgia,No,30627,3477,ZCTA,ZCTA5 30627,1771,252,144,64,8.1,3.4,208,89,11.7,4.8,794,133,44.8,4,212,81,12,4.2,90,56,5.1,3.1,185,84,10.4,4.5,138,49,7.8,2.5,352,110,19.9,5.5,1419,192,80.1,15.7,323,98,18.2,4.9,1.52436225728465,0.0317509967431684
434,Northeast Georgia,No,30628,3478,ZCTA,ZCTA5 30628,4618,456,281,149,6.1,3.2,347,144,7.5,3,1651,295,35.8,5.3,845,189,18.3,3.7,730,257,15.8,5.3,473,158,10.2,3.3,291,117,6.3,2.5,628,207,13.6,4.3,3990,476,86.4,5.8,764,197,16.5,3.9,0.856505112247839,0.0122951656294591
435,Northeast Georgia,No,30629,3479,ZCTA,ZCTA5 30629,3226,377,197,87,6.1,2.6,497,162,15.4,4.7,1075,175,33.3,3.8,677,140,21,3.6,223,79,6.9,2.3,323,86,10,2.4,234,70,7.3,2,694,184,21.5,5.1,2532,262,78.5,12.2,557,111,17.3,2.8,0.995390239072533,0.019171372843337
436,Coastal Regional Commission,No,31313,3669,ZCTA,ZCTA5 31313,24256,593,644,154,2.7,0.6,1226,228,5.1,0.9,7673,589,31.6,2.3,7395,572,30.5,2.2,2857,409,11.8,1.7,3033,394,12.5,1.6,1428,254,5.9,1,1870,275,7.7,1.1,22386,1030,92.3,3.6,4461,469,18.4,1.9,0.931559300373954,0.0166174746034983
437,Northeast Georgia,No,30630,3480,ZCTA,ZCTA5 30630,1690,296,75,51,4.4,2.9,294,91,17.4,4.4,638,151,37.8,6,456,156,27,7.9,49,44,2.9,2.6,59,35,3.5,2,119,59,7,3.3,369,104,21.8,4.8,1321,232,78.2,0.7,178,69,10.5,3.7,0.629669697374125,0.00926642199133549
438,Central Savannah River Area,No,30631,3481,ZCTA,ZCTA5 30631,1253,137,141,35,11.3,2.5,206,49,16.4,3.5,594,84,47.4,4.3,171,40,13.6,2.8,59,19,4.7,1.4,53,22,4.2,1.7,29,23,2.3,1.8,347,60,27.7,3.8,906,100,72.3,1.3,82,32,6.5,2.5,1.53796258265174,0.0488925756028753
439,GM / NE,No,30633,3482,ZCTA,ZCTA5 30633,6408,449,275,105,4.3,1.6,793,195,12.4,2.9,2550,317,39.8,4.1,1299,232,20.3,3.3,379,113,5.9,1.7,584,135,9.1,2,528,153,8.2,2.3,1068,222,16.7,3.3,5340,457,83.3,4.1,1112,204,17.4,2.9,1.12049127389966,0.0255262879005395
440,GM / NE,No,30634,3483,ZCTA,ZCTA5 30634,1431,293,235,120,16.4,7.7,226,95,15.8,5.8,459,141,32.1,7.4,239,90,16.7,5.3,152,106,10.6,7.1,96,57,6.7,3.8,24,40,1.7,2.8,461,153,32.2,8.4,970,210,67.8,4.8,120,70,8.4,4.6,1.06321044269714,0.0122817803520521
441,GM / NE,No,30635,3484,ZCTA,ZCTA5 30635,10526,300,644,175,6.1,1.7,1457,262,13.8,2.5,4576,325,43.5,2.8,1912,281,18.2,2.6,745,172,7.1,1.6,673,157,6.4,1.5,519,138,4.9,1.3,2101,315,20,2.9,8425,508,80,4.3,1192,209,11.3,2,1.84027908312913,0.0775488466732948
442,Central Savannah River Area,No,30807,3541,ZCTA,ZCTA5 30807,57,34,7,33,12.3,57.8,4,32,7,56.6,29,22,50.9,23.9,11,12,19.3,16.6,4,16,7,27.4,0,18,0,32.3,2,29,3.5,51.2,11,46,19.3,80.5,46,45,80.7,63.4,2,35,3.5,60.5,0.0829919038259558,0.000155503787029499
